id,hour,day_of_week,month,day_of_year,is_weekend,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,hour_day_interaction,hour_month_interaction,day_month_interaction,weekend_hour_interaction,weekend_month_interaction,time_since_midnight,time_since_week_start,is_monday,is_friday,is_end_of_month,is_beginning_of_month,valeur_CO,valeur_NO2,valeur_O3,valeur_PM10,valeur_PM25
2020-01-03 09,9,4,1,3,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,36,9,4,0,0,9.0,105,0,1,0,1,0.255,32.4,29.5,16.1,7.3
2020-01-03 10,10,4,1,3,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,40,10,4,0,0,10.0,106,0,1,0,1,0.21,23.8,44.0,11.3,5.0
2020-01-03 11,11,4,1,3,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,44,11,4,0,0,11.0,107,0,1,0,1,0.209,21.0,50.4,12.1,4.8
2020-01-03 12,12,4,1,3,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,48,12,4,0,0,12.0,108,0,1,0,1,0.192,19.0,56.3,12.3,6.7
2020-01-03 13,13,4,1,3,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,52,13,4,0,0,13.0,109,0,1,0,1,0.224,28.2,45.5,12.8,6.8
2020-01-03 14,14,4,1,3,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,56,14,4,0,0,14.0,110,0,1,0,1,0.215,30.6,43.1,13.5,5.5
2020-01-03 15,15,4,1,3,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,60,15,4,0,0,15.0,111,0,1,0,1,0.225,31.1,40.7,10.5,4.0
2020-01-03 16,16,4,1,3,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,64,16,4,0,0,16.0,112,0,1,0,1,0.253,36.6,32.9,9.6,3.8
2020-01-03 17,17,4,1,3,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,68,17,4,0,0,17.0,113,0,1,0,1,0.307,51.2,20.3,10.6,5.9
2020-01-03 18,18,4,1,3,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,72,18,4,0,0,18.0,114,0,1,0,1,0.268,33.8,33.7,10.9,6.6
2020-01-03 19,19,4,1,3,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,76,19,4,0,0,19.0,115,0,1,0,1,0.245,28.8,35.1,10.6,8.9
2020-01-03 20,20,4,1,3,0,-0.8660254037844386,0.5,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,80,20,4,0,0,20.0,116,0,1,0,1,0.224,26.0,40.3,16.8,10.4
2020-01-03 21,21,4,1,3,0,-0.7071067811865477,0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,84,21,4,0,0,21.0,117,0,1,0,1,0.207,21.4,48.0,14.7,9.6
2020-01-03 22,22,4,1,3,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,88,22,4,0,0,22.0,118,0,1,0,1,0.181,21.7,54.9,11.3,7.2
2020-01-03 23,23,4,1,3,0,-0.2588190451025215,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,92,23,4,0,0,23.0,119,0,1,0,1,0.166,17.7,54.5,9.8,5.9
2020-01-04 00,0,5,1,4,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,0,5,0,1,0.0,120,0,0,0,0,0.146,19.6,49.6,10.5,5.8
2020-01-04 01,1,5,1,4,1,0.25881904510252074,0.9659258262890683,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,5,1,5,1,1,1.0,121,0,0,0,0,0.15,25.0,44.8,15.3,2.4
2020-01-04 02,2,5,1,4,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,10,2,5,2,1,2.0,122,0,0,0,0,,19.5,48.1,16.0,3.5
2020-01-04 03,3,5,1,4,1,0.7071067811865475,0.7071067811865476,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,15,3,5,3,1,3.0,123,0,0,0,0,0.145,17.6,48.0,16.3,3.3
2020-01-04 04,4,5,1,4,1,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,20,4,5,4,1,4.0,124,0,0,0,0,0.192,25.5,35.3,14.2,6.9
2020-01-04 05,5,5,1,4,1,0.9659258262890683,0.25881904510252074,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,25,5,5,5,1,5.0,125,0,0,0,0,0.202,33.9,27.2,18.0,6.4
2020-01-04 06,6,5,1,4,1,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,30,6,5,6,1,6.0,126,0,0,0,0,0.213,42.9,20.4,20.1,6.6
2020-01-04 07,7,5,1,4,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,35,7,5,7,1,7.0,127,0,0,0,0,0.232,48.8,15.7,20.3,7.6
2020-01-04 08,8,5,1,4,1,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,40,8,5,8,1,8.0,128,0,0,0,0,0.229,46.6,18.0,22.5,7.9
2020-01-04 09,9,5,1,4,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,45,9,5,9,1,9.0,129,0,0,0,0,0.221,39.6,26.7,24.4,7.5
2020-01-04 10,10,5,1,4,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,50,10,5,10,1,10.0,130,0,0,0,0,0.221,35.2,33.3,23.6,9.6
2020-01-04 11,11,5,1,4,1,0.258819045102521,-0.9659258262890682,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,55,11,5,11,1,11.0,131,0,0,0,0,0.205,29.2,43.0,23.7,8.3
2020-01-04 12,12,5,1,4,1,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,60,12,5,12,1,12.0,132,0,0,0,0,0.185,24.2,48.0,23.8,8.9
2020-01-04 13,13,5,1,4,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,65,13,5,13,1,13.0,133,0,0,0,0,0.175,20.2,53.3,21.5,8.4
2020-01-04 14,14,5,1,4,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,70,14,5,14,1,14.0,134,0,0,0,0,0.172,24.2,50.7,21.0,7.6
2020-01-04 15,15,5,1,4,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,75,15,5,15,1,15.0,135,0,0,0,0,0.197,36.9,39.8,21.6,7.9
2020-01-04 16,16,5,1,4,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,80,16,5,16,1,16.0,136,0,0,0,0,0.229,44.3,30.7,23.6,8.6
2020-01-04 17,17,5,1,4,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,85,17,5,17,1,17.0,137,0,0,0,0,0.252,55.6,19.9,23.8,9.3
2020-01-04 18,18,5,1,4,1,-1.0,-1.8369701987210297e-16,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,90,18,5,18,1,18.0,138,0,0,0,0,0.246,46.2,29.5,27.8,7.9
2020-01-04 19,19,5,1,4,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,95,19,5,19,1,19.0,139,0,0,0,0,0.234,39.0,38.4,23.8,11.2
2020-01-04 20,20,5,1,4,1,-0.8660254037844386,0.5,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,100,20,5,20,1,20.0,140,0,0,0,0,0.226,35.0,42.1,19.3,10.2
2020-01-04 21,21,5,1,4,1,-0.7071067811865477,0.7071067811865475,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,105,21,5,21,1,21.0,141,0,0,0,0,0.185,21.8,55.6,16.9,9.7
2020-01-04 22,22,5,1,4,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,110,22,5,22,1,22.0,142,0,0,0,0,0.198,22.2,53.2,14.7,9.1
2020-01-04 23,23,5,1,4,1,-0.2588190451025215,0.9659258262890681,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,115,23,5,23,1,23.0,143,0,0,0,0,0.199,21.1,53.3,13.9,9.4
2020-01-05 00,0,6,1,5,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,6,0,1,0.0,144,0,0,0,0,0.184,18.7,55.2,13.4,7.2
2020-01-05 01,1,6,1,5,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6,1,6,1,1,1.0,145,0,0,0,0,0.201,22.7,48.6,12.2,4.9
2020-01-05 02,2,6,1,5,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,12,2,6,2,1,2.0,146,0,0,0,0,,,42.3,13.1,7.3
2020-01-05 03,3,6,1,5,1,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,18,3,6,3,1,3.0,147,0,0,0,0,0.201,22.4,46.6,13.7,7.1
2020-01-05 04,4,6,1,5,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,24,4,6,4,1,4.0,148,0,0,0,0,0.203,21.3,47.3,12.0,5.4
2020-01-05 05,5,6,1,5,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,30,5,6,5,1,5.0,149,0,0,0,0,0.199,22.1,51.4,10.9,5.8
2020-01-05 06,6,6,1,5,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,36,6,6,6,1,6.0,150,0,0,0,0,0.202,25.4,42.0,9.9,5.1
2020-01-05 07,7,6,1,5,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,42,7,6,7,1,7.0,151,0,0,0,0,0.214,33.2,35.8,11.1,6.3
2020-01-05 08,8,6,1,5,1,0.8660254037844388,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,48,8,6,8,1,8.0,152,0,0,0,0,0.235,32.7,34.0,12.7,6.8
2020-01-05 09,9,6,1,5,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,54,9,6,9,1,9.0,153,0,0,0,0,0.241,32.4,32.1,12.6,7.1
2020-01-05 10,10,6,1,5,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,60,10,6,10,1,10.0,154,0,0,0,0,0.273,40.8,26.5,15.5,8.8
2020-01-05 11,11,6,1,5,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,66,11,6,11,1,11.0,155,0,0,0,0,0.229,28.6,45.9,15.9,9.3
2020-01-05 12,12,6,1,5,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,72,12,6,12,1,12.0,156,0,0,0,0,0.172,16.5,61.5,11.3,6.5
2020-01-05 13,13,6,1,5,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,78,13,6,13,1,13.0,157,0,0,0,0,0.142,11.7,68.6,5.7,6.5
2020-01-05 14,14,6,1,5,1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,84,14,6,14,1,14.0,158,0,0,0,0,0.143,14.8,63.5,10.1,6.2
2020-01-05 15,15,6,1,5,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,90,15,6,15,1,15.0,159,0,0,0,0,0.165,21.7,54.8,15.7,4.2
2020-01-05 16,16,6,1,5,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,96,16,6,16,1,16.0,160,0,0,0,0,0.212,35.6,40.1,16.9,6.8
2020-01-05 17,17,6,1,5,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,102,17,6,17,1,17.0,161,0,0,0,0,0.206,36.3,40.9,15.9,10.6
2020-01-05 18,18,6,1,5,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,108,18,6,18,1,18.0,162,0,0,0,0,0.207,38.1,40.2,16.4,9.9
